From,to,Name,Agents,Results ,Type,Label,Place (modern),Historic affiliation,Archival sources,WIKIDATA ENTITY ID,WIKIDATA COUNTRY ID,COUNTRY NAME,WIKIDATA LOCATION ID,WIKIDATA LOCATION NAME
1592,#,Battle of the Bay of Biscay (Anglo-Spanish War),#,#,context unclear,Bay of Biscay / France,Bay of Biscay / France,British Empire / Spanish Empire,#,Q16243586,Q29,Spain,Q41573,Bay of Biscay
1593,1593,Battle of Dryfe Sands ,Scottish clan battle between the Johnstones and Maxwells,#,involving clans,Annandale / Scotland,Annandale / Scotland,British Empire,#,Q16822609,#,#,Q45846,Annandale / Scotland
1594,1603, The Nine Years' War or 'Tyrone's Rebellion',against English rule in Ireland.,#,colonial expansion / consolidation,Ulster / Ireland,Ulster / Ireland,British Empire,#,#,#,#,#,#
1594,#,Action of Faial,English victory,English victory,international,Off Faial Island / Azores / Atlantic Ocean,Faial,British Empire,#,Q16158139,#,#,#,#
1596,1596,Oxfordshire Rising of 1596,intended march on London to protest against bad harvest and unprecedented poverty,#,social / economic,Oxfordshire / England,Oxfordshire / England,British Empire,#,Q7115603,#,#,#,#
1597,1597,Battle of Logiebride / Tumult in Ross,disturbance at the Logie Candlemas market between men of the Clan Mackenzie against men of the Clan Munro and the Bain family of Tulloch Castle,Results vary from different sources,political freedoms / personal rights,Conon Bridge / Rosshire / Scotland,Conon Bridge / Rosshire / Scotland,British Empire,#,Q4871586,#,#,Q1013733,Conon Bridge
1597,#,Capture of Ootmarsum,Dutch & English victory,Dutch & English victory,international,Ootmarsum,"Ootmarsum
(present-day Netherlands)",British Empire / Dutch Republic,#,Q2335434,#,#,Q1615365,Ootmarsum
1597,#,Islands Voyage / Essex-Raleigh Expedition (Anglo-Spanish War),#,#,context unclear,Azores Island,Azores Island / Plymouth / England,British Empire / Spanish Empire,#,Q16848812,#,#,Q43382,Plymouth / England
1599,1599,Raid on Tabasco (English military expedition during the Angloâ€“Spanish War),#,#,colonial expansion / consolidation,Tabasco / New Spain,Tabasco / Villahermosa / Mexico,British Empire / Spanish Empire,#,Q16242964,#,#,Q210886,Villahermosa
1601,1601,Earl of Essex Rebellion,led by Robert Devereux / 2nd Earl of Essex / in 1601 against Queen Elizabeth I of England and the court faction led by Sir Robert Cecil,unsuccessful,government,Essex,Essex,British Empire,#,Q7731362,Q179876,England,#,#
1601,1601,Stand-off at Bengrime,stand-off between the armies of John Gordon / 13th Earl of Sutherland (chief of Clan Sutherland) and George Sinclair / 5th Earl of Caithness (chief of Clan Sinclair),No battle,involving clans,Bengrime / Sutherland / Scotland,Sutherlandshire / Scotland,British Empire,#,Q39088137,#,#,#,#
1601,1601,Battle of Carinish,Scottish clan battle / feuding between Clan MacLeod of Dunvegan,MacDonald victory,involving clans,Carinish / North Uist,Carinish / North Uist,British Empire,#,Q4870655,Q145,United Kingdom,Q5039639,Carinish
1602,#,Siege of Grave (1602),Dutch and English victory[1][2],Dutch and English victory[1][2],context unclear,"Grave
(present-day the Netherlands)",Grave,British Empire / Dutch Republic,#,Q2127633,#,#,Q9839,Grave
1602,#,Battle of Sesimbra Bay,English victory,English victory,international,Sesimbra Bay,Sesimbra Bay / Portugal,British Empire / Portuguese Empire,#,Q16822708,#,#,#,#
1605,1605,Gunpowder Plot,Catholic plan to blow up the House of Lords,unsuccessful,government,London / England,London / England,British Empire,#,#,#,#,#,#
1608,1608,Battle of Kilmacrennan,skirmish fought during O'Doherty's Rebellion,Crown victory,colonial expansion / consolidation,Kilmacrennan / Ireland,Kilmacrennan / Ireland,British Empire,#,Q19562961,#,#,Q2081743,Kilmacrennan
1608,1608,Siege of Tory Island,Sir Cahir O'Doherty / lord of Inishowen / began an uprising against the Crown authorities,Crown victory,colonial expansion / consolidation,Tory Island / Ireland,Tory Island / County Donegal / Ulster / Ireland,British Empire,#,#,#,#,#,#
1608,#,O'Doherty's Rebellion,Crown victory,Crown victory,supplementary conflict,Ulster,County Donegal / Ulster / Ireland,British Empire,#,Q24196178,Q215530,Ireland,Q93195,Ulster
1608,#,Siege of Tory Island,Crown victory,Crown victory,supplementary conflict,Tory Island / Ireland,Tory Island / County Donegal / Ulster / Ireland,British Empire,#,Q19563404,#,#,Q1147050,Surabaya / Indonesia
1609,#,"""Indian Wars""",#,#,colonial expansion / consolidation,North America,North America,British Empire,#,Q849680,#,#,Q49,North America
1609,1614,"""Indian Wars"" / Anglo-Powhatan Wars",Jamestown settlers vs. Native Americans,temporary peace agreement,colonial expansion / consolidation,Virginia / North America,Virginia / North America,British Empire,#,#,#,#,#,#
1626,#,Siege of Oldenzaal (1626),Dutch and English victory[1],Dutch and English victory[1],international,Oldenzaal,"Oldenzaal / Overijssel
(present-day the Netherlands)",British Empire / Dutch Republic,#,Q2182866,#,#,Q10016,Oldenzaal
1628,1628,Action of 17 July 1628,"
English force led by the Kirke brothers capture supply convoy bound for New France",English victory,colonial expansion / consolidation,St. Lawrence River / near present-day Rimouski / Quebec,Saint Lawrence River,British Empire,#,Q4677272,Q16,Dominion of Canada,Q134750,Saint Lawrence River
1629,1629,Riot,riot at Holford Moss,#,context unclear,Holford Moss / England,Holford Moss / England,British Empire,Cheshire Archives and Local Studies DCH/U/7,#,#,#,#,#
1638,1731,Border disputes between New York and Connecticut,colonies of New York and Connecticut disputed the precise location of their shared border,Both sides claim victory,colonial expansion / consolidation,ConnecticutNew York border / Long Island Sound,New York / United States,British Empire,#,Q4944640,#,#,#,#
1639,1640,Bishops' War,Royal forces vs. Scottish Covenanters,Covenanter victory,religion / cultural identity,Scotland / Britain,Scotland / Britain,British Empire,#,Q807843,#,#,Q22,Scotland
1641,1641,Church Riot,Warrant for arrest of John Blackwell and others for a riot in the church of St Thomas Apostle. 30 June 1641,#,context unclear,London / England,London / England,British Empire,Parliamentary Archives HL/PO/JO/10/1/64,#,#,#,#,#
1641,1642,Irish Rebellion,"
uprising by Irish Catholics to end (legal) discrimination / obtain extended self-government and contain plantations",Founding of the Irish Catholic Confederation / beginning of the Confederate War,government,Ireland,Ireland,British Empire,#,#,#,#,#,#
1642,1642,Siege of Chichester,"Royalists (""Cavaliers"") versus Parliamentarians (""Roundheads"")",Parliamentarian victory,government,Chichester / England,Chichester / England,British Empire,#,Q16931400,#,#,Q207639,Chichester
1642,1660,English Revolution / English Civil Wars,civil war between supporters of Parliament and adherents of the Crown,execution of Charles I and the temporary establishment of a republican Commonwealth,government,England,England,British Empire,#,#,#,#,#,#
1642,1642,Siege of Portsmouth,"Royalists (""Cavaliers"") versus Parliamentarians (""Roundheads"")",Parliamentarian victory,government,Portsmouth / Hampshire / England,Portsmouth / Hampshire / England,British Empire,#,Q7510327,#,#,Q72259,Portsmouth
1643,1643,Siege of Lichfield,Royalists under the command of Prince Rupert besieged the Parliamentary garrison under the command of Colonel Russell,Royalist victory,government,Lichfield / Staffordshire / England,Lichfield / Staffordshire / England,British Empire,#,Q42377514,#,#,Q207371,Lichfield
1643,1643,Battle of Portlester,between the Ulster Army under Eoghan Ã“ NÃ©ill and a largely Protestant government force from Dublin under Lord Moore,Irish Confederate Victory,government,Portlester / Meath / Ireland,Portlester / Meath / Ireland,British Empire,#,Q19871089,#,#,#,#
1644,1644,Relief of Montgomery Castle,"Royalists (""Cavaliers"") versus Parliamentarians (""Roundheads"")",Parliamentarian victory,government,Montgomery / Powys,Montgomery / Wales,British Empire,#,Q7311097,#,#,Q1311946,Montgomery / Wales
1644,1644,Relief of Newark,"Royalists (""Cavaliers"") versus Parliamentarians (""Roundheads"")",Royalist victory,government,Newark-on-Trent / Nottinghamshire,Newark-on-Trent / England,British Empire,#,Q7311096,#,#,Q49940,Newark-on-Trent / England
1646,1646,Great Eastpm Riots,#,#,context unclear,Henham / Essex,Henham / Essex,British Empire,UK National Archives,#,#,#,#,#
1647,1647,Sack of Cashel,"Royalists (""Cavaliers"") versus Parliamentarians (""Roundheads"")",English Parliamentarians take the town and massacre its garrison,government,Cashel / Tipperary / Ireland,Cashel / Tipperary / Ireland,British Empire,#,Q7396807,#,#,Q1002183,Cashel / Tipperary / Ireland
1648,1648,Whiggamore Raid,Kirk faction of the Covenanters vs. Committee of Estates / Engagers,"Edinburgh taken by Kirk Party / 
 Committee of Estates relocates to Stirling",government,Edinburgh / Scotland,Edinburgh / Scotland,British Empire,#,Q7993592,#,#,Q23436,Edinburgh / Scotland
1650,1650,Siege of Kilkenny,Irish Confederates versus New Model Army of the English Parliamentarians,English Parliamentarian victory,government,County Kilkenny,County Kilkenny,British Empire,#,Q42377494,#,#,Q180231,County Kilkenny
1650,1650,Siege of Inverness,Scottish Royalists vs. Covenanters (Clan Fraser of Lovat),Covenanters withstand the siege and Royalists are forced to retreat,government,Inverness / Scotland,Inverness / Scotland,British Empire,#,Q7510100,#,#,Q160493,Inverness / Scotland
1653,1653,Glencairn-Rising,Royalists rising against Oliver Cromwell's Protectorate,#,government,Scottish Highlands,Scottish Highlands,British Empire,#,Q3491709,#,#,Q106652,Scottish Highlands
1656,1656,Battle of Bloody Run,Conferederation of Native Americans versus British soliders,Native American victory / Captain Dalyell killed,colonial expansion / consolidation,Parent's Creek hence Bloody Run / near Fort Detroit / New France (now in Detroit / Michigan),Parent's Creek hence Bloody Run / near Fort Detroit / New France (now in Detroit / Michigan),British Empire,#,Q19866070,#,#,#,#
1661,#,London Carriage Dispute,#,#,diplomatic crisis,London / England,London / England,British Empire,#,Q1869164,#,#,#,#
1665,1857,Piracy on Lake Nicaragua,pirates,Piracy and filibustering suppressed by 1857,political freedoms / personal rights,Lake Nicaragua / San Juan River / Nicaragua,Lake Nicaragua,British Empire,#,Q17014068,#,#,Q173862,Lake Nicaragua
1666,#,Holmes's Bonfire,English victory,English victory,international,near West-Terschelling / in the provinces of Friesland and Holland of the Dutch Republic,#,British Empire / Spanish Empire,#,Q1981397,#,#,#,#
1668,1668,Bawdy House Riots,Dissenters against King's proclamation on conventicles (lay worship),#,religion / cultural identity,London / England,London / England,British Empire,#,#,#,#,#,#
1675,1675,Great Swamp Fight,#,New England victory,colonial expansion / consolidation,South Kingstown / Rhode Island,South Kingstown / Rhode Island,British Empire,#,Q5600061,#,#,Q163507,South Kingstown / Rhode Island
1675,1676,King Philip's War / Metacom's Rebellion,between Native Americans and English settlers,#,colonial expansion / consolidation,Southern New England,Southern New England / USA,British Empire,#,#,#,#,#,#
1675,1677?,Northeast Coast Campaign,#,#,international,There are seven different events of that name!,There are seven different events of that name!,British Empire,#,Q18385279,#,#,#,#
1675,1675,Wheeler's Surprise,ambush by the Nipmuc,Siege unsuccessful. Follow up battle fought to a draw.,colonial expansion / consolidation,Brookfield / Massachusetts,Brookfield / Massachusetts (present-day West Brookfield and probably New Braintree),British Empire / Native Americans,#,Q7992172,#,#,Q2536826,Brookfield / Massachusetts
1676,1676,Bacon's Rebellion / Virginia Rebellion,armed rebellion by Virginia settlers against Governor Berkeley,#,government,Virginia / North America,Virginia / North America,British Empire,#,#,#,#,#,#
1676,#,Northeast Coast Campaign,#,#,international,There are seven different events of that name!,There are seven different events of that name!,British Empire,#,Q18354826,#,#,#,#
1677,#,Northeast Coast Campaign,#,#,international,There are seven different events of that name!,There are seven different events of that name!,British Empire,#,Q18354831,#,#,#,#
1678,1678,Popish Plot,fictitious/alleged plot of Jesuits planning the assassination of King Charles II,multiple arrests and execution of innocents,alleged / planned,England / Britain,England / Britain,British Empire,#,#,#,#,#,#
1680,1680,"Alleged plot of the ""Popish Midwife""",Elizabeth Cellier / a Catholic midwife / was accused of planning the murder of Charles II and blaming it on a Presbyterian conspiracy / accusations raised by Thomas Dangerfield (alias Willoughby) whom Cellier had visited in Newgate prison,Cellier could prove her innocence but was later sentenced for involvement in another alleged plot.,government,London / England,London / England,British Empire,UK National Archives,#,#,#,#,#
1680,1688,The Killing Time,conflict between the Presbyterian Covenanter movement / and the government forces of Kings Charles II and James VII,Presbyterianism accepted in 1690 Act of Settlement,religion / cultural identity,Kingdom of Scotland (predominantly southwest),Scotland / Britain,British Empire,#,Q3521478,#,#,Q230791,Kingdom of scotland
1685,1573,Riot,Riot at Burnley,#,context unclear,Burnley / England,Burnley / England,British Empire,Lancashire Archives DDTO Q 15,#,#,#,#,#
1685,1685,Riot,inter alia involving Gilbert Purdon / who fled overseas ,Purdon asks for pardon seven years later,context unclear,England,England,British Empire,UK National Archives / SP 34/24/5,#,#,#,#,#
1685,#,Argyll Rebellion ,attempt to overthrow King James II / led by Archibald Campbell / 9th Earl of Argyll,most of the leaders / inlcuding Argyll / caught and executed,government,Scotland / Britain,Scotland / Britain,British Empire,#,#,#,#,#,#
1685,1685,Monmouth Rebellion,Duke of Monmouth against royal forces,Royalist victory,government,South West England,South West England,British Empire,#,Q1940446,#,#,Q48026,South West England
1686,August 8 / 1782,Hudson Bay expedition,one of the Anglo-French conflicts on Hudson Bay,French victory / two company factories raided / two company ships escape,international,Fort Prince of Wales and York Factory / Hudson Bay / Prince Rupert's Land (present-day Canada),Hudson Bay / United States,British Empire,#,Q3062426,#,#,#,#
1688,#,King William’s War,opposition to King James II / VII / against a Catholic succession,Stuart family forced into exile / Protestant Succession established,government,North America,North America,British Empire,#,Q1070342,#,#,Q49,North America
1688,1688,Wincanton Skirmish,small patrol of the English Army led by the Irish officer Patrick Sarsfield / clashed with a detachment of the invading Dutch Army,Indecisive,government,Wincanton / Somerset,Wincanton / Somerset,British Empire,#,Q11688250,#,#,Q1026640,Wincanton / England
1688,1689,Glorious Revolution,opposition to King James II / VII / against a Catholic succession,Stuart family forced into exile / Protestant Succession established,government,Britain / Ireland / North America,Ireland,British Empire,#,#,#,#,#,#
1688,1689,Glorious Revolution,opposition to King James II / VII / against a Catholic succession,Stuart family forced into exile / Protestant Succession established,government,Britain / Ireland / North America,New England / USA,British Empire,#,#,#,#,#,#
1688,1689,Glorious Revolution,opposition to King James II / VII / against a Catholic succession,Stuart family forced into exile / Protestant Succession established,government,Britain / Ireland / North America,Britain / Ireland / North America,British Empire,#,#,#,#,#,#
1689,1689,Raid on Dover / Cochecho Massacre,French and Wabanaki Confederacy vs. New England Colonies,French and Wabanaki Confederacy victory,colonial expansion / consolidation,Dover / New Hampshire,Dover / New Hampshire,British Empire,#,Q7283744,#,#,Q48215,Dover / New Hampshire
1689,1689,Siege of Pemaquid,attack Abenaki warriors on the English fort,successful attack,colonial expansion / consolidation,Pemaquid / Fort Charles / North America,Pemaquid / Fort Charles / North America,British Empire,#,Q7510302,#,#,Q7161849,Colonial Pemaquid State Historic Site
1689,1689,Rising in Boston 1689,revolt by local militia and citizens against Governor Sir Edmund Andros / linked with the events of the Glorious Revolution,#,government,Boston / Province of Massachusetts Bay,Boston / Massachusetts,British Empire,#,Q3136592,#,#,Q100,Boston / Massachussetts
1690,1690,Raid on Salmon Falls,Acadian and Wabanaki Confederacy,Acadian and Wabanaki Confederacy victory,colonial expansion / consolidation,Salmon Falls,Salmon Falls (present-day Berwick / Maine),British Empire,#,Q7283760,#,#,#,#
1691,1691,Siege of Athlone,Jacobites versus Williamites,Williamite victory,government,Athlone / Ireland,Athlone / Ireland,British Empire,#,Q16238739,#,#,Q369911,Athlone / Ireland
1692,1692,Machine breaking in Huddersfield,#,several machine breakers executed for riot,social / economic,Huddersfield / England,Huddersfield / England,British Empire,West Yorkshire Archive Service / Kirklees KC703,#,#,#,#,#
1693,1693,Riot,Riot at Ware (ca. 1693),#,context unclear,Ware / England,Ware / England,British Empire,Hertfordshire Archives and Local Studies DE/P/F92,#,#,#,#,#
1694,1694,Raid on Oyster River,French colonists / Abenaki warriors / English-speaking settlers,New France and Abenaki victory,colonial expansion / consolidation,Oyster River,Oyster River (present-day Durham / New Hampshire),British Empire,#,Q14474392,#,#,#,#
1694,1700,Komenda Wars,wars largely between the Dutch West India Company and the British Royal African Company,#,colonial expansion / consolidation,Fort Komenda / Kindgom of Eguafo / Africa,Fort Komenda / Ghana,British Empire / Dutch Republic / Kingdom of Eguafo,#,Q6428297,#,#,Q5471446 / Q3049250,Fort Komenda
1697,1697,Raid on Haverhill,French-speaking colonists / English-speaking colonists,French victory,colonial expansion / consolidation,Haverhill / Province of Massachusetts Bay,Haverhill / Massachusetts,British Empire / Kingdom of France,#,Q7283747,#,#,Q54132,Haverhill / Massachusetts
1698,1698,Riot,"2-6, 29 /32. J. Sidey of Cambridge re College bills / 1704. To Burrell Massingberd. 8-9 Corr. with a nailman of Belper / 1719. 12. Letter about a charitable assembly at Lincoln / 1756 [? a skit]. 14. A note of Late Aunt Massingberd's books. Mid 18th century hand (includes Eiken Basilike) 15-18 Designs for a monument / 1762. Richard Hayward to W.B. Massingberd. 30. Lord Brownlow to F.C. Massingberd / 1850. 32-36. Applications to Lord Eden for living of Sutterby / 1821. 40-98. Wine merchant / (Winder & Aikman) Leghorn / 1715-1725. [Montepulciano wine / and some pictures]. Burrell Massingberd was importing wine for Charles Bertie and other Lincs. gents as well as himself who are described as 'subscribers'. 99-100 Shipping of timber / Hull to Boston for William Elmhirst of Stainsby / 1774. 112. William Lewis of Stamford (a 'subscriber') to Burrell Massingberd / Refers to Burrell's 'ill success at Boston' (? election) 1719. 116. Sea damage in Ingoldmells warren / September / 1723. 116-139 Letters about estate matters Michael Mosley William to B. Massingberd / 1723-4. 131. William Hurd / January / 172[3/4] I do not find that many of our neighbours about Tetford Brinkhill / etc. / will go to the election. ",#,context unclear,British Isles,British Isles,British Empire,Lincolnshire Archives 1MM/7/1/A,#,#,#,#,#
1700,1700,Blackburn riot,#,#,context unclear,Blackburn / England,Blackburn / England,British Empire,#,#,#,#,#,#
1700,1700,Riot,Petition of Captain John Lesley of HMS Neptune for a stay of prosecution against him for causing a riot,#,context unclear,British Isles,British Isles,British Empire,UK National Archives / PC 1/1/68,#,#,#,#,#
1700,1700,Riot,Sam. Crooke / Blackburne - naming seven men who are indicted for a riot,#,context unclear,Lancashire / England,Lancashire / England,British Empire,Lancashire Archives DDKE/9/100/1,#,#,#,#,#
1700,1700,Riot on the Pretender's Birthday,riot by supporters of the Stuart dynasty,#,government,Bristol / England,Bristol / England,British Empire,#,#,#,#,#,#
1700,1700,Riot on the Pretender's Birthday,supporters of the Stuart dynasty,#,government,Clerkenwell / England,Clerkenwell / England,British Empire,#,#,#,#,#,#
1700,1700,Riot on the Pretender's Birthday,"""Catholic mob"" / supporters of the Stuart dynasty",#,government,Dublin / Ireland,Dublin / Ireland,British Empire,#,#,#,#,#,#
