Title word,Count,Field,Type,Connotation
accrue(d),3,context,quality,context
adjudged,1,context,quality,context
,,,,
affrays,1,context,?,context
anent,4,context,?,context
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
commodities,1,economy,item,context
,,,,
cower,1,context,dev,context
,,,,
d'avers,1,context,?,context
disquisition,1,context,information / communication,context
,,,,
dye,4,art / fashion,item,context
dyet,1,food,item,context
erudition,1,context,inform,context
besetting,3,context,dev,context
evan[gelical??],4,context,?,context
execrable,1,context,?,context
exercise,1,context,(power) relation / agency,context
exon,2,context,loc,context
expence(s),4,context,(power) relation / agency,context
,,,,
,,,,
jurisdiction(s),17,context,?,context
misprision,1,context,inf,n
,,,,
,,,,
,,,,
,,,,
policy,4,politics,(power) relation,context
politics,6,politics,(power) relation,context
politicis,1,politics,(power) relation,context
politische,2,context,q,context
polity,1,context,(power) relation,context
portuguese,1,context,identity,context
possession,3,context,(power) relation,context
possibility,1,context,(power) relation,context
posture,1,context,information / communication,context
pounds,2,context,(power) relation,context
power(s),8,context,(power) relation,context
,,,,
,,,,
prétendire,1,context,information / communication,n
practices  / practises,4,context,(power) relation / agency,context
,,,,
praise,2,context,information / communication,context
praying,1,context,information / communication,context
precepts,1,context,?,context
prefatory,1,context,q,context
preferment,1,context,(power) relation,context
prepare / preparations,2,context,(power) relation,context
,,,,
preservation,3,context,(power) relation,p
preserved,1,context,?,p
prevailing,1,context,?,context
practice / practicing,9,context,(power) relation,context
,,,,
primo,1,context,time,context
prince,24,context,title / person / group,context
prison,8,context,(power) relation / agency,context
prizes,2,context,(power) relation / agency,context
production,2,context,(power) relation / agency,context
profess,1,context,?,context
progress / progressen / etc.,4,context,development / movement,context
,,,,
prohibit(ing),4,context,(power) relation,context
,,,,
promising,3,context,information / communication,context
promotions,1,context,(power),context
prononcée,2,context,information / communication,context
propagated,1,context,information / communication,context
proper,3,context,q,context
property,1,context,(power),context
prophesie,1,context,information / communication,context
proposal(s),5,context,information / communication,context
,,,,
proposed,2,context,q,context
propre,1,context,q,context
proscribed,1,context,q,context
prose,5,context,information / communication,context
prosecuting / prosecution(s),6,context,(power),context
,,,,
,,,,
prospect,3,context,?,context
prostrate,1,context,q,context
protection,1,context,(power),context
protest,17,context,information,context
protestantischen,2,context,identit,context
protestation,2,context,information,context
prov(e)d,2,context,q,context
,,,,
provided,1,context,q,context
province,6,context,identity,context
provincial,1,context,identity,context
provintzen,1,context,identity,context
provisions,2,context,?,context
persons,1,context,title / person / group,context
prudence,1,context,q,context
publish(e)d,17,context,information / communication,context
publicirte,1,context,information / communication,context
publickly,1,context,information / communication,context
publié( e ),3,context,information / communication,context
,,,,
,,,,
,,,,
publishing,4,context,information / communication,context
,,,,
puissant,2,context,q,context
pull(ing),6,context,dev,context
pulled,1,context,q,context
,,,,
punished / punishing,4,context,(power,context
,,,,
,,,,
purported / purporting,1,context,information,context
,,,,
purpose,1,context,information / communication,context
purser,1,context,?,context
pursued,1,context,?,context
put(ting),8,context,development / movement,context
,,,,
qualifications,1,context,quality / status,context
qualitie,1,context,quality / status,context
quality,3,context,quality / status,context
quartered,1,context,(power),context
quarterial,2,context,time,context
quarters,2,context,location,context
quebec,1,context,location,context
queries,1,context,inf,context
question,1,context,inf,context
,,,,
,,,,
raise(d) / raising,11,context,dev,context
,,,,
,,,,
raisons,3,context,inf,context
rally,1,context,inf,context
ramble,1,context,dev,context
,,,,
rank(s),11,context,title / person / group,context
,,,,
rat,93,animal,item,context
rated,8,context,q,context
,,,,
ratified,1,context,inf,context
ratifyd,1,context,inf,context
ratifying,4,context,inf,context
raving,10,context,dev,context
reading,1,context,inf,context
real,6,context,q,context
realm,5,context,loc,context
,,,,
reason(s),40,context,inf,context
reasoning,1,context,inf,context
,,,,
rebellion(s),89,context,(po,context
,,,,
,,,,
receipt,2,context,inf,context
receive(d),15,context,inf,context
,,,,
recently,1,context,time,context
recht,7,context,q,context
rechten,3,context,q,context
rechtfertigung,1,context,inf,context
rechtglÃ¤ubige,1,context,q,context
rechtmÃ¤ssigen,1,context,q,context
recipient,1,context,title / person ,context
recline(s),1,context,dev,context
recommendatory,1,context,q,context
recommended / recommending,2,context,inf,context
,,,,
recorder,1,context,title / person,context
records,3,context,inf,context
recruitment,1,context,inf,context
redivivus,1,context,dev,context
,,,,
redress(ed)/(ing),6,context,dev,context
,,,,
reducing,1,context,dev,context
reference,1,context,inf,context
refin(e)d,1,context,q,context
reflecting,1,context,inf,context
reformation(s),4,context,dev,context
,,,,
reformed,1,context,q,context
refuge,1,context,(power,context
refusing,1,context,inf,context
refuted,1,context,inf,context
reg(is/em),29,context,(power),context
regalities,1,context,(power),context
regard(ing),3,context,(po,context
,,,,
regards,1,context,information,context
,,,,
regiersucht,1,context,(po,n
regierung,1,context,(po,context
regiment,1,context,tit,context
register(n),5,context,inf,context
,,,,
regni,2,context,(power),context
regular,2,context,q,context
regulars,1,context,title,context
regulations,2,context,inf,context
reich,13,context,loc,context
reiche,3,context,loc,context
reichsangelegenheiten,1,context,item,context
reign,8,context,(power),context
rejection,1,context,(power),context
rejoyce,1,context,q,context
relating,11,context,(power),context
relation,6,context,(power),context
relative,1,context,(power),context
relevant,1,context,q,context
relief,2,context,q,context
religion,9,context,q,context
remain,1,context,dev,context
remarkable,7,context,q,context
remarks,6,context,inf,context
remarquabler,1,context,q,context
remed(y/ies),3,context,item,context
,,,,
remind,1,context,inf,context
remnant,1,context,quality,context
remonstrance(s),3,context,inf,context
,,,,
removal,2,context,dev,context
remove,1,context,dev,context
removing,2,context,dev,context
rendering,4,context,dev,context
rendezvous,1,context,(power),context
rents,14,context,item,context
,,,,
repairing,1,context,(power,context
repeal,2,context,(power,context
repeale,1,context,(power,context
repeated,1,context,(power,context
repel,1,context,(power,context
repentance,1,context,inf,context
replace,1,context,(power,context
reply,3,context,inf,context
réponse,1,context,inf,context
report(s/ed/ing),14,context,inf,context
,,,,
,,,,
,,,,
repr[esent/ing/ed],30,context,(power,context
,,,,
representation,1,context,(power,context
representatives,4,context,title,context
represente,3,context,(power,context
,,,,
,,,,
reprinted,1,context,inf,context
republic,1,context,loc,context
republikanische,1,context,ident,context
request,2,context,inf,context
requiring,2,context,inf,context
,,,,
rescue,1,context,(po,context
research,1,context,inf,context
resent,46,context,(po,context
resetters,1,context,title / person / grou,context
resetting,2,context,(po,context
residence,1,context,loc,context
residing,2,context,dev,context
resignation,2,context,(po,context
resolution(s),9,context,information / communication,context
,,,,
resolve(d),5,context,information / communication,context
,,,,
resp,22,context,inf,context
respect,5,context,q,context
respectable,1,context,q,context
respectful,1,context,q,context
respecting,1,context,q,context
respectively,1,context,q,context
responsible,2,context,q,context
respose,1,context,inf,context
restoration,2,context,(po,context
restored,1,context,(po,context
restoring,6,context,(po,context
restrain,4,context,(po,context
restrained/ing,2,context,(po,context
,,,,
result/ing,3,context,dev,context
,,,,
retirer,1,context,dev,context
return,4,context,dev,context
revenue,2,economy,item,context
reverend,2,context,title,context
revised,3,context,inf,context
reviv(e)d,1,context,q,context
revolt(ed),4,context,(po,n
,,,,
revolution,6,context,(po,context
revolutionprinciples,1,context,(po,po
revolutions,1,context,(po,context
,,,,
reward,21,context,(po,context
riches,1,context,(po,context
rides/ing,2,context,dev,context
,,,,
right,13,context,q,context
righteous,1,context,q,context
rights,5,context,(po,context
riot(s/ing),49,context,(po,context
,,,,
riotous,4,context,q,context
,,,,
rise(n) / rising,8,context,dev,context
,,,,
,,,,
robb(ed/ing),3,context,(po,n
robbery,3,context,(po,n
,,,,
,,,,
roman,4,context,identity,context
rome('s),4,context,loc,context
,,,,
room,2,context,loc,context
,,,,
,,,,
route,1,context,loc,context
,,,,
royal,15,context,q,context
royale,2,context,q,context
royales,1,context,q,context
royall,1,context,q,context
royaumes,1,context,loc,context
rue,16,context,loc,context
ruined/ ruines / ruins,3,context,development / movement,n
,,,,
,,,,
rule(s),3,context,(power),context
,,,,
rum,9,context,item,context
runaway,1,context,title / person,n
rupert,1,context,name,context
ryswikische,1,context,identity,context
,,,,
sachen,6,context,item,context
sacrae,1,religion,q,context
sacramental,1,religion,q,context
sacred,3,religion,q,po
sacrifice,1,religion,(power),context
safety,1,context,q,po
said,22,context,inf,context
,,,,
salary/ies,1,economy,item,context
,,,,
sale,3,economy,item,context
salus,1,politics,item,po
,,,,
,,,,
,,,,
,,,,
satire,2,context,inf,context
satirical,1,context,inf,context
satirizing,1,context,inf,context
satisfaction,2,context,q,context
satisfie,1,context,q,context
satisfy,2,context,q,context
satisfying,1,context,q,context
saturday,4,context,time,context
savage,1,context,q,n
savoyen,1,context,loc,context
,,,,
sayings,1,context,inf,context
scandalous,1,context,q,n
schemes,1,context,inf,context
schier,1,context,q,context
schleunigern,1,context,q,context
schlusses,1,context,inf,context
schools,1,context,loc,context
,,,,
schottland,7,context,loc,context
schreiben(s),9,context,inf,context
,,,,
,,,,
schwarzen,1,context,q,context
schweden,4,context,loc,context
schwedisch,2,context,identity,context
schweig,2,context,inf,context
schweinfurt,1,context,loc,context
sciences,1,context,item,context
scientific,5,context,q,context
scotland,47,context,loc,context
scots,5,context,title,context
scottish,3,context,identity,context
scripture,2,context,inf,context
sculpture,1,context,inf,context
sea,21,context,loc,context
seafaring,1,context,dev,context
seal,4,context,inf,context
seale,1,context,inf,context
seasonable(ness),4,context,q,po
,,,,
seated,3,context,dev,context
,,,,
,,,,
secret,10,context,inf,context
,,,,
securing / security,18,context,(power),po
,,,,
,,,,
sedition / seditious,6,context,(power,n
,,,,
see(ing),10,context,inf,context
,,,,
,,,,
seek,2,context,dev,context
,,,,
seized / seizing / seizure,8,context,(power,context
,,,,
,,,,
selbige,2,context,q,context
select(ed),5,context,(power,context
,,,,
selfinconsistency,1,context,q,n
,,,,
sendung,1,context,dev,context
senilis,1,context,q,context
sense,6,context,q,context
sensible,1,context,q,po
sending / sent,61,context,dev,context
sentence(d),4,context,(power),context
,,,,
sentinel,1,context,title / person /grou,context
seperatists,1,context,title / person /grou,n
septembre,1,context,title / person /grou,context
septennial,1,context,time,context
series,1,context,time,context
serious,3,context,q,context
service / serving,5,context,(power,context
,,,,
session(s),11,context,information / communication,context
,,,,
set /setting,29,context,dev,context
,,,,
settlement,1,context,loc,context
settling,1,context,dev,context
seul,1,context,q,context
,,,,
,,,,
sever,27,context,develeopment / movement??,context
several(l),29,context,q,context
,,,,
,,,,
,,,,
shameful,1,context,q,n
share(s/d),12,context,(p,context
,,,,
sharp,1,context,q,context
,,,,
sheltering,1,context,(p,context
show / shew(ing / eth),16,context,inf,context
,,,,
,,,,
,,,,
ship(s),4,context,item,context
,,,,
shock,1,context,development / movement,context
shop,10,context,loc,context
short,9,context,q,context
shorthand,3,context,inf,context
shortselling,1,context,item,context
,,,,
sheriffes,2,context,title / person,context
,,,,
side(s),24,context,loc,context
,,,,
siege(s),3,context,(power,context
,,,,
sign,9,context,inf,context
signal,1,context,inf,context
signed,2,context,inf,context
silk,1,context,item,context
simmonds,1,context,name,context
simon,1,context,name,context
sincere,1,context,q,po
sing(ing),45,context,inf,context
,,,,
single,1,context,q,context
singular,1,context,q,context
,,,,
sit(s) / sitting,27,context,development / movement,context
,,,,
,,,,
sittings,1,context,information,context
,,,,
,,,,
,,,,
,,,,
slackening,1,context,dev,negativ
slander,1,context,q,context
slaying,2,context,(po,negativ
smoking,1,context,q,context
snorts,1,context,infor,context
societ(y/ies),2,context,title / person / group,context
,,,,
,,,,
sogenannten,1,context,q,context
sold,10,context,q,context
solemnly,1,context,q,context
solid,1,context,q,context
sonderbaren,1,context,q,context
song(s),12,context,inf,context
,,,,
sons,65,context,title / person / group,context
sophistry,1,context,item,context
sorrow,2,context,quality OR EMOTION,n
sorts,1,context,quality OR EMOTION,context
souffert,1,context,quality OR EMOTION,n
sound,2,context,inf,context
source,1,context,development / movement,context
south,9,context,loc,context
southern,1,context,identity,context
soveraign / sovereign,2,context,quality OR EMOTION,context
,,,,
spain,4,context,loc,context
speak(ing) / spoke,2,context,inf,context
special(l),11,context,q,context
,,,,
spectacle,2,context,inf,context
spectacled,1,context,q,context
speculation,2,context,inf,context
speculative,2,context,q,context
speech(es),9,context,inf,context
,,,,
speedy,4,context,q,context
spellings,1,context,inf,context
spirit,5,context,item,context
spiritual,2,context,q,context
,,,,
sprache,2,context,inf,context
spread,1,context,dev,context
,,,,
squeak,1,context,inf,context
sr,4,context,title,context
staat(s),6,context,loc,context
staatsanmerckungen,1,context,inf,context
staatsgespräch,1,context,inf,context
staatsgriffe(n),1,context,inf,context
staatshistorie,1,context,inf,context
staatssachen,1,context,item,context
stack(s),1,context,deve,context
staggs,1,context,animal,context
stamp(s),3,context,inf,context
,,,,
stand(ing/s),18,context,dev,context
,,,,
,,,,
stanzas,1,context,inf,context
state,29,context,loc,context
stated,3,context,inf,context
statement,1,context,inf,context
states,10,context,inf??,context
stating,2,context,inf,context
statutes,1,context,(po,context
,,,,
,,,,
stenhouse,1,context,loc,context
stets,1,context,time,context
stile,4,context,q,context
still,2,context,q,context
stirred,2,context,q,context
stock(s),3,context,item,context
,,,,
stolen,1,context,(po,n
stone(s),6,context,item,context
,,,,
stoning,1,context,(po,context
stop,6,context,dev,context
stoppage,1,context,dev,context
stores,1,context,item,context
,,,,
strag(g)ling,2,context,NACHZÜGLER?,context
,,,,
straw,5,context,item,context
street(s),12,context,loc,context
,,,,
strictures,2,context,info,context
stroke,1,context,(power),context
stürtzfall,1,context,dev,n
style(d),4,context,q,context
,,,,
subiectes,2,context,(power,context
subject(s),25,context,(power,context
,,,,
subjoined / subjoyned,1,context,inform,context
,,,,
submitted,1,context,info,context
subordination,1,context,(po,context
subscription,1,context,info,context
subsequent,2,context,time,context
substance,2,context,q,context
success,10,context,(po,po
successful,4,context,(po,po
succession,1,context,(po,context
succinct,1,context,q,context
suecicis,1,context,iden,context
suffer( e )d / suffering(s),12,context,q,n
,,,,
,,,,
,,,,
sufficient,1,context,q,p
sugar,1,context,item,context
suit(ed/s),9,context,q,p
,,,,
,,,,
suits,2,context,?,context
suivant,1,context,time,context
sujets,1,context,inf,context
summary,2,context,inf,context
summon,1,context,inf,context
sumptuous,1,context,q,context
sunday,1,context,time,context
sundry,1,context,q,neutral
support(ed),9,context,(power) relation,context
,,,,
supposititius,1,,q,context
suppress(ing) / suppression,48,context,(po,context
,,,,
,,,,
,,,,
suprema,2,context,q,positive
supremacy,1,context,(po,positive
sure,5,context,q,positive
surprizing,1,context,q,neutral
surrendering,1,context,(po,context
surrey,2,context,lo,neutral
surrounded,1,context,dev,context
surveys,1,context,inf,context
suspensions,1,context,(po,context
suspicion,1,context,inf,negative
sustained,1,context,q,context
swear,1,context,inf,context
sweet,1,context,q,positive
syne,1,context,time,context
system,1,context,item,context
tableau,2,context,inf,context
tail,2,context,item,context
take(n) / taking,46,context,(po,context
,,,,
,,,,
talbot,1,context,name,context
tanner,1,context,name,context
tapfere/r,3,context,q,po
tasker,1,context,title / person,context
taxes,2,econony,item,context
tea,4,context,item,context
tear,1,context,item,context
,,,,
tendency,1,context,q,context
tend/(e)ring,33,context,inform,context
tent,7,context,item,context
term,9,context,?,context
test,22,context,?,context
teucro,1,context,?,context
teutsch[e],5,context,id,context
,,,,
,,,,
thing,4,context,item,context
thistle,2,context,item,context
,,,,
,,,,
thursday,4,context,time,context
,,,,
till,4,context,time,context
tinners,1,profession,title ,context
,,,,
tithe,1,economy/religion,item,context
title,10,context,inf,context
tolbooth,1,context,item,context
take / took,2,context,?,context
tools,1,context,item,context
tosses,1,context,dev,context
touche,1,context,dev,context
touching,6,context,dev,context
tous,5,context,q,context
tout,1,context,q,context
tower,2,context,loc,context
town(s),18,context,loc,context
traced,1,context,inf,context
tracy,2,context,name,context
trade,9,context,item,context
traded,1,context,q,context
trading,2,context,(po,context
trafficking,1,context,(po,context
transcendent,1,context,q,context
trusts,1,context,(po,po
truth,1,context,q,po
turgot,1,context,name,context
turner,1,context,name,context
,,,,
,,,,
tyler,7,context,name,context
über(zu)gehen/übergang,3,context,dev,context
,,,,
,,,,
unlawful[l/y],7,context,q,n
,,,,
,,,,
unmask[e]d,2,context,inf,po
,,,,
unmutilated,5,context,q,po
unnatural,4,context,q,n
unnatürlichen,1,context,q,n
unruhe,1,context,q,n
unsuccessful,1,context,q,context
unterdrückung,1,context,(po,context
unterrichtet,1,context,inf,context
unterschieden,1,context,q,context
unterworffen,1,context,(po,context
urged / urging,2,context,inf??,context
,,,,
ursachen,3,context,dev,context
usage,1,context,?,context
use(s),95,context,dev,context
useful,2,context,q,context
,,,,
usual,1,context,q,context
usum,1,context,?,context
usurer,1,context,?,context
utmost,1,context,q,context
vacancies,1,context,?,context
valiant,1,context,q,context
valour,1,context,q,context
variorum,1,context,q,context
vast,1,context,q,context
versehen,1,context,?,context
version,6,context,?,context
versus,2,context,(po,context
vertue,1,context,q,po
vessel,1,context,item,context
vesting,1,context,?,context
vianen,1,context,?,context
vie,14,context,item,context
vignettes,1,context,item,context
vindication,6,context,(po???,po
vindiciae,1,context,?,context
,,,,
sukzession,2,dynastic,(po,context
price(s),12,economy,item,context
magazine,1,information / communication,inf,context
meaning,1,information / communication,inf,context
medium,1,information / communication,inf,context
fastday,1,religion,time,neutral
fasts,1,religion,time,neutral
fide,2,religion,q,po
kunstgriffe,1,skills,item,po
,,,,
zustande,1,context,q,context
damages,1,context,(po,nevative
abusyng,2,context,(po,negative
calamities,2,conflict,(po,n
calumnies,2,conflict,(po,n
crisis,9,conflict,(po,n
massacre(s),4,conflict,(po,n
bigshot,1,context,title??,context
charge,9,context,(po,context
chargé,1,context,(po,context
chargeable,1,context,(po,context
charges,3,context,(po,context
chastise,1,context,(po,n
circonstances,1,context,dev,context
corruption,2,context,(po,n
dare,3,context,dev,context
death(s),9,psysical,dev,context
,,,,
hinrichtung,1,context,(po,context
humiliation,1,context,(po,n
hunting,1,context,(po,context
Employment / imployment,1,context,(po,context
imprison(ment),3,context,(po,context
,,,,
inauguration,1,context,inf,context
incidents,1,context,inf,context
indictment(s),3,context,inf,context
,,,,
judgement,1,context,inf,context
loves / loving,3,context,(po,positive
maintain,4,context,(po,context
manufacture,2,context,dev,context
change(s),5,development / movement,dev,context
circuit,3,development / movement,dev,context
come,4,development / movement,dev,context
leave,1,development / movement,dev,context
make(s),9,development / movement,dev,context
business,1,economy?,item,context
butchery,2,economy?,loc,negative
buy,1,economy?,??,context
calculation,1,economy?,item,context
birth(s),7,human life ,dev,context
birthday,1,human life ,time,context
call,26,oral,inf,context
battle(s),4,military,(po,context
capture,2,military,(po,context
combat,1,military,(po,context
kriege,2,military,(po,context
manoeuvres,1,military,(po,context
marche,1,military,dev,context
landing,1,relation / posession,dev,context
lessen,1,relation / posession,dev,context
let,68,relation / posession,dev,context
management,3,relation / posession,(po,context
blessings,1,religion,(po,positive
martyrdom,1,religion,(po,positive
marriages,1,social status,(po,context
present,45,time,time,context
castrations,1,violence?,(po,n
yes,9,context,inf,context
acted,4,context,dev,neutral
action,7,context,agency,neutral
active,1,context,agency,neutral
adventures,3,context,agency,context
aiding,1,context,agency,context
zeal,2,context,agency,context
animali,1,context,animal,context
bull,2,context,animal,context
cock,1,context,animal,context
horse,1,context,animal,context
lion,90,context,animal,context
wolf,2,context,animal,context
bee,11,,animal,context
ear,59,context,body,context
heart,1,context,body,context
living,2,psysical,q,context
arms,6,nature,body,context
coeur,1,context,body part,context
castle,15,politics / power,loc,context
bath,2,context,context,context
count,68,context,context,context
lay,12,context,context,context
justice,25,law,context,context
composing,1,context,development / movement,context
expedition,2,context,development / movement,context
expeditione,1,context,development / movement,context
explosion,1,context,development / movement,context
extent,2,context,development / movement,context
fait/e,6,context,development / movement,context
finden,1,context,development / movement,context
followed,2,context,development / movement,context
followeth,1,context,development / movement,context
following,10,context,development / movement,context
geblieben,1,context,development / movement,context
tending,4,context,development / movement,context
thrown,1,context,development / movement,context
towards,1,context,development / movement,context
transportation,1,context,development / movement,context
travels,1,context,development / movement,context
turn,1,context,development / movement,context
establishing,3,context,development / movement,context
worden,2,context,development / movement,context
working,1,context,development / movement,context
zugenommen,1,context,development / movement,context
