MAGAZINE TITLE;PLACE OF PUBLICATION;PUBLISHER;DENOMINATION;DATES;START;INFO;SOURCE
The Protestant Mercury: Occurrences Foreign and Domestick;London, UK;Printed by Ichabod Dawks [1673-1730] in Ward-robe Court in Great Charter Lane near the West End of St.  Paul's;Anglican;5-7 January 1697-25-30 March 1698;1697;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Jesuite;London, UK;#;Anglican; 15 August 1719-3 October 1719;1719; Nine numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The True Protestant Mercury ; or, an Impartial Historv of the Times";London, UK; Printed for Richard Janeway [senior];Anglican; 6 December 1689;1689; One number;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
A Monthly Intelligence Relating to the Affaires of the People Called Quakers;London, UK;#;Anglican;August-September 1662;1662; One number only;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
Church-Man;London, UK;#;Anglican; 29 October 1718;1718; Only copy recorded;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The True Protestant (Domestick) Intelligence: or, News both from City and Country. Published to Prevent False Reports;London, UK;#;Anglican;Friday 23 April 1680-14 May 1680;1680; Seven numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Weekly Visions of the Late Popish Plot;London, UK; Printed for Thomas Benskin in St.  Bride's Church Yard;Anglican;1681;1681; Seven numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Occasional Paper upon the Subject of Religion and the Church Establishment;London, UK;#;Anglican;1735-1736;1735; Ten numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The Protestant Mercury ; or, the Exeter Post-Boy";Exeter, UK;Printed by Joseph Bliss at His New Printing-House near the London Inn, without East-Gate;Anglican;1715;1715; The only evidence of this periodical is a reproduction of the title page of the fourth number (7 October 1715) in the Transactions of the Devonshire Association, 20 (1868), 170;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Gosfel Magazine, or Treasury of Divine Knowledge;London, United Kingdom; Edited by Augustus Montague Toplady (1740-1778);Anglican; 1774-1784;1774;" Toplady's hymn, ""Rock of ages, cleft for me,"" appeared (in part) first in the October 1775 number (p. 474), and then the complete text followed in the number for March 1776";"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Jesuit;London, United Kingdom;#;Anglican;1783;1783; Two numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
Protestant York Courant;York, UK;#;Anglican;1749;1749;York Public Library houses numbers 224, 259, 266.;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
Smith's Protestant Intelligencey Domestick and Foreign;London, UK; Published for the;Anglican;#;#;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The Aurora; or, the Dawn of Genuine Truth";London, UK; Published by The New Church (Swedenborgian);Swedenborgian; 1799-1800;1799;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Balm of Gilead;London, UK;#;#; 4 January 1714-5 February 1714;1714;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The British Critic, a New Review;London, UK; Edited by William Beloe and Robert Nares;#; 1793-1813;1793;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Gospel Magazine and Theological Review;London, UK;#;Anglican; 1796-1805;1796;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The Gospel Magazine; or, Sfiritual Library, Designed to Promote Religion";London, UK;#;Anglican; 1766-1773;1766;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Impartial Protestant Mercury, or Occurrences, Foreign and Dome stick;London, UK; Printed for H. V. and T.C.;Anglican;#;#;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The Library ; or, Moral and Critical Magazine";London, UK;#;Anglican; 1761-1762;1761;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The New Spiritual Magazine; or, Evangelical Treasury of Experimental Religion";London, UK;#;Anglican;1783-1785;1783;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Observator Observyd\ or Protestant Observations upon Anti-Protestant Pamphlets: By Way of Question and Anszver;London, UK;"Printed for T. Davies [bookseller], Friday, 6 May 1681; Printed for J. Gilford, at the Gun in St.  Paul's Churchyard, 13 April 1681-9 March 1687:  Edited by Sir Roger L'Estrange (1616-1704), The Observator attacked Whigs, Titus Oates, and Dissenters ";Anglican;1681;1681;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Old Whig-, or, the Consistent Protestant;London, UK;#;Anglican;1735-1739*;1735;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Patriot y or Political} Moral and Philosophical Repository;London, UK;#;Anglican;1792-1793-;1792;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Protestant Advocate: With Remarks upon Poperyy Serious and ComicaL;London, UK;#;Anglican;1724;1724;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Protestant Dissenter's Magazine;London, UK;#;Anglican;1794-1799;1794;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The Protestant Packet; or, British Monitor";Newcastle-upon-Tyne, UK;#;Anglican; 1780-1781;1780;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Protestant Post-Boy;London, UK;Printed and Sold by Sarah Popping, also by B. Harris;Anglican;15-17 November 1711-1-4 December 1711;1711;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The True Protestant Mercury ; or, Occurrences Foreign and Domestick";London, UK;H. Vile and T. Vile, sold by Langley Curtiss on Ludgate Hill;Anglican;Tuesday, 28 December 1680-18 October 1682;1680;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The Universalistsy Miscellany ; or, Philanthropist's Museum:  Intended Chiefly As an Antidote against the Antichristian Doctrine of Endless Misery";London, UK;William Vidler;Anglican;1797-1801;1797;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Valley Catholic;San Jose, California;Most Rev. Oscar Cantú;Catholic;1982-present;1982;#;Q60745934
The Virginia Methodist Advocate;Richmond, Virginia;Virginia Conference of the United Methodist Church;Methodist;#;#;#;Q91500579
"The Weekly Mercury ; or, Protestant's Packet";Norwich, UK;William Chase,  Cockney Lane;Anglican;1721-1723;1721;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Weekly Remembrancer, Shewing the Best Way to Thrive and to Provide for the Poor: In a Dialogue between a Churchman and a Mystic;London, UK;Oliver Hill;Anglican;1702-1703;1702;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
United Church Observer;Canada;Englisch;Christian;#;1925;#;Q7887582
Waiapu Church Gazette;Waiapu, New Zealand;#;#;1910–1945;1910;#;Q91893821
Waiapu Church Times;Waiapu, New Zealand;#;#;1907–1908;1907;#;Q91893835
Welsh Calvinistic Methodist Record;Carmarthen, Wales;#;Methodist;1. Januar 1852;1852;#;Q32342141
The Arminian Magazine (later: Wesleyan Methodist Magazine);United Kingdom;founded by John Wesley, printed by John Atlay,  edited by John Wesley (1703-1791) and George Story (d. 1818).;Methodist;1778 to 1969;1778;"WIKIPEDIA: ""It was retitled the Methodist Magazine in 1798 and as the Wesleyan Methodist Magazine in 1822. The co-writer with Wesley (from 1775 to 1789) was Thomas Olivers."" 20 vols. till 1797. ";"Q7984063 / RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
Western Catholic Reporter;"	Edmonton, Alberta, Canada";Archdiocese of Edmonton;Catholic;1965-present;1965;#;Q7987699
Western New York Catholic;New York, United States;Englisch;Christian;25. April 1872;1872;#;Q66384937
Y Methodist;Llanidloes, Wales;Walisisch;Methodist;1. Januar 1854;1854;#;Q37196894
Y Methodist;Denbigh, Wales;Walisisch;Methodist;1. Januar 1852;1852;#;Q33092820
Young Protestants;London, UK;Miss Cook and Major Cook;Christian;#;1901;#;Q88565684
The Christian journal. A general history of the Christian Church (2 vols.);Edinburgh, UK;#;Christian;1765-1783 (4 editions);1765;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The missionary magazine. Ed. G. Ewing;[London, UK];#;Christian;18 July 1796;1796;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The Christian magazine: or evangelical repository;[London, UK];#;Christian;6 Feb 1797;1797;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The advocate: or a vindication of the Christian religion;[London, UK];#;Christian;9 Nov 1720 - 8 March 1721;1720;18 numbers;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The Orange Gazette;Edinburgh, UK;(based on London paper);politically Protestant;22 February 1689 - 5 March 1689;1689;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
Mercurius Reformatus: or the new observator.;Edinburgh, UK;(based on London paper);politically Protestant;4 June 1690 - 5 June 1691;1690;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The Christian monthly history: or an account of the revival and progress of religion, abroad and at home;Edinburgh, UK;Ed. J. Robe;Christian;Nov 1743 (no. 1) - Jan 1746 (no. 10);1743;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The religious magazine: or Christian's storehouse. July 1760 - Aug 1760 (2 numbers);Edinburgh, UK;#;Christian;#;1760;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The evangelical Magazine: or Christian library;Newcastle-upon-Tyne;#;Christian;3 Aug 1780-78;1780;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The weekly pacquet of advice from Germany, by H. Care, 19 numbers, 3 Sept 1679 - 4 Feb 1680, rptd. As: History of the Protestant reformation as it was begun by Luther in Germany, 1680.;[London, UK];H. Care;#;#;1680;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The Protestant Post Boy, 123 numbers, 4 Sept 1711 - 12 Junly 1712(?), some nos. Rptd. Seriatim Dublin 1712.;London, UK;#;#;#;1711;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The Christian's amusement: containing letters concerning the progress of the gospel both at home and abroad. ;London, UK;#;#;Sept 1740;1740;27 numbers. Continued as: Weekly History: or an account of the most remarkable particulars relating tot the present progress of the gospel etc. ;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The Methodist's journal;London, UK;#;Methodist;#;1740;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
"The Lancashire journal; with the history of the Holy Bible (142 numbers), 24 May 1738(?)-20July1738-16March1741";Manchester, UK;SEVERAL MAGAZINES LIKE THIS!;Anglican;#;1738;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
"The Derbyshire journal; with this history of the Holy Bible, 1738";[London, UK];#;Anglican;#;1738;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
"The Shropshire journal; with the history of the Holy Bible, 1737-1739";[London, UK];#;Anglican;#;1737;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
"The Warwich and Staffordshire journal; with the exposition on the common prayer (1737). Continued as: Warwick and Staffordshire journal; with the history of the Holy Bible (Oct 1737). Continued as: Warwick and Staffordshire journal; with the history of the life of Jesus Christ, 25 June 1740-June1743";[London, UK];#;Anglican;#;1737;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
Newspaper issued as cover to Exposition on the common-prayer, pbd. In pts. By L. Clarke, July 1737-Jan1739(?);London, UK;#;Anglican;#;1737;#;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The Protestant intelligence, with news foreign and domestick (2 numbers), 1 Jan 1724 - 8 Jan 1724;London, UK;#;Anglican;#;1724;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The churchman's last shift: or loyalist's weekly journal (no. 1 to no. 22); 14 May 1720 - 29 Oct. 1729. Continued as: Church-man: or loyalist's weekly journal (no. 23 to no. 35) 5 Nov 1720 - 28 Jan 1721(?)";London, UK;#;Anglican;#;1720;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Protestant intelligence. (Ca. 27 numbers) 26 September 1724 - 27 March 1725(?);London, UK;#;#;#;1724;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The new Christian's magazine: being an (sic) universal repository of devine knowledge (50 Numbers) Oct 1782 - 1786 (?);[London, UK];#;#;#;1782;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The theological magazine;[London, UK];#;#;Dec. 1750 (?);1750;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The dissenting gentleman's magazine;[London, UK];#;Protestant?;Dec. 1750 (?);1750;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
Theosophical transaction of the Philadelphian society, 5 numbers, 1 March 1697 - July 1697 (?);[London, UK];#;Theosophical;#;1697;#;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
A pacquet of advice from Rome;[London, UK];#;politically Protestant;3 Dec 1678 ;1678;Continued as: Weekly pacquet: or advice from Rome (10 Dec 1678-25 June 1680. Continued as: New anti-Roman pacquet (16 July 1680-30 July 1680) Continued as: Anti-Roman pacquet (6 August 1680 - 26 Nove 1680). Continued as: Weekly pacquet of advice from Rome restored (3 Dec 1680- 13 July 1683). Rival publication with different text by W. Salmon issued as vol. 5 no. 1, 25 August 1682- vol. 5 no. 36, 27 April 1683.;"The New Cambridge Bibliography of English Literature: Volume 2, 1660-1800
edited by George Watson, Ian R. Willison, J. D. "
The Theological Repository;London, UK;#;Anglican; 1766-1770;1766;Edited by Joseph Priestley (1733-1804);"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Theological Miscellany and Review of Books on Religious Subjects;London, UK;#;Anglican; 1784-1789;1784;Edited by the Rev. C. DeCoetlogon;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
"The Christian Miscellany ; or, Religious and Moral Magazine";London, UK;#;Anglican;1792;1792;Eight numbers;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
The Christian's Magazine;London, UK; Edited by William Dodd ( 1729-1777);Anglican; 1760-1767;1760;Eight vols.  This journal continually assailed Wesley's doctrine of Christian Perfection. ;"Wikipedia.de: ""William Dodd gab zwischen 1760 und 1767 bei John Newbery The Christian's Magazine, die erste christliche Zeitschrift in England, heraus. Autoren der Zeitschrift waren Elisabeth Scott, Joseph Grigg (1720–1768), Ottiwell Heginbotham (1744–1768), Merick und Smart."""
Catholic Intelligence: or, Infallible News both Domestic and Foreign;London, UK; Printed for John Howe in Sweeting's Alley, Cornhill;politically Protestant; 1 March 1680-29 March 1680;1680;Five numbers.  A satirical news-sheet in the Protestant interest;"RELIGIOUS PERIODICALS IN ENGLAND
DURING THE RESTORATION
AND EIGHTEENTH CENTURY
BY SAMUEL J. ROGAL"
Church Times;"	Invicta House, 108–114 Golden Lane, London";"GJ Palmer & Sons Ltd,
a wholly owned subsidiary of Hymns Ancient and Modern";Anglican;7 February 1863;1863;#;Q1089750
Duffy’s Irish Catholic Magazine;Dublin, Ireland;James Duffy;Catholic;1846-1847;1846;#;Q1263996
National Catholic Reporter;Kansas City, USA;Robert Hoyt;Catholic;1964-present;1964;#;Q1266813
Christian History;#;#;Christian;#;1982;#;Q15864016
Catholic Press;Sydney, Australia;Australisches Englisch;Christian;9 November 1895 - 26 February 1942;1895;#;Q16825954
The Catholic Times;Manchester, UK;Englisch;Catholic;1860-present;1860;#;Q16825973
Catholic Worker;United States;#;Catholic;#;1933;#;Q16825977
The Church-Wellesley Review;Canada;#;Christian;#;1990;#;Q16829580
Christian Standard;Cincinnati, Ohio;Restoration Movement Media;Restoration Movement;#;1866;#;Q16987247
The Catholic Weekly (formerly: The Freeman's Journal);Sydney;Peter Rosengren;Catholic;1850-present;1850;#;Q17056304
The Christian Guardian;Canada;#;Methodist;1829-1925;1829;#;Q18111268
The Christian Century;Chicago, Illinois;Christian Century Foundation;Christian;1884-present;1884;#;Q1825683
The National Catholic Bioethics Quarterly;United States;Englisch;Catholic;#;2001;#;Q18393480
The American Catholic Quarterly Review;Philadelphia, Pennsylvania;#;Catholic;1876-1924;1876;#;Q19881254
Southern Baptist Journal of Theology;United States;Stephen J. Wellum;Baptist;1997-present;1997;#;Q21016019
The Presbyterian Guardian;United States;Englisch;Presbyterian;7 October 1935;1935;#;Q22025682
The Superior Catholic Herald;Superior, Wisconsin;Diocese of Superior;Catholic;#;1953;#;Q22073501
Perspectives on Science and Christian Faith;United States;American Scientific Affiliation;Christian;#;1949;#;Q22907711
The Protestant Standard;Sydney, Australia;Samuel Goold;Christian;1 May 1869-1906;1869;#;Q24190627
Premier Christianity;United Kingdom;#;Christian;#;1965;#;Q24906120
Catholic Standard;Georgetown, Guyana;Roman Catholic Diocese of Georgetown, Guyana;Catholic;April 1905-present;1905;#;Q25183777
Pacific Christian Advocate;Portland, Oregon;Alvin F. Waller;Christian;#;1850;#;Q25197545
Arkansas Catholic;Little Rock, Arkansas;Diocese of Little Rock;Catholic;March 25, 1911-present;1911;#;Q25230330
National Catholic Register;Irondale, USA;EWTN;Catholic;8 November 1927-present;1927;#;Q2745511
The Christian Science Monitor;Boston, MA;Christian Science Publishing Society;Christian Science;1908-present;1908;#;Q284947
The Anglican Digest;Eureka Springs, Arkansas;Howard Lane Foland;Anglican;#;1958;#;Q29261566
Catholic World;United States;Paulist Fathers;Catholic;1865-1996;1865;#;Q2942150
Christian Recorder;Philadelphia, USA;"founded by
Benjamin Tucker Tanner";Christian;Methodist;1863;#;Q29626383
The new Christian's magazine;London, UK;Alexander Hogg;Christian;1782-10-01T00:00:00Z;1782;#;Q29877978
The Church of Ireland Gazette;Lisburn, Co. Antrim;Church of Ireland Press Ltd.;Anglican;1856-present;1856;#;Q30632194
The Baptist Sunday school record;Cardiff, Wales;#;Baptist;1. April 1897;1897;#;Q32342490
Cardiff Methodist Temperance Magazine;Cardiff, Wales;#;Methodist;1. April 1877;1877;#;Q32355238
Churchman in Wales;Cardiff, Wales;Englisch;Christian;1873-01-01T00:00:00Z;1873;#;Q33090026
The Oswestry Presbyterian Treasury;Dolgellau;Englisch;Presbyterian;1. Januar 1895;1895;#;Q33200792
Monmouthshire Baptist;Pontypool;Englisch;Baptist;1. Januar 1886;1886;#;Q41674482
The Baptist chronicle;Pontypool;Englisch;Baptist;1. Januar 1892;1892;#;Q41674530
The Newport Presbyterian;Frome, USA;Englisch;Presbyterian;1. Januar 1895;1895;#;Q41674675
Cardiff congregational magazine;Cardiff;Englisch;congregationalist;1. Januar 1868;1868;#;Q41832386
North Wales and Border Counties Congregational Magazine;London;Englisch;congregationalist;1. Januar 1879;1879;#;Q41895117
The Monmouthshire congregational magazine;Newport;Englisch;congregationalist;1. Januar 1868;1868;#;Q42449452
Baptist Record;Cardiff;Englisch;Baptist;1. Januar 1896;1896;#;Q42533559
The Christian Standard;Cardiff;Englisch;Christian;1891-01-01T00:00:00Z;1891;#;Q42533592
The Carmarthenshire congregational magazine;Llanelly;Englisch;congregationalist;1. Januar 1896;1896;#;Q42534142
Montgomery and Radnor Baptist Visitor;Llanidloes;Englisch;Baptist;1. Januar 1898;1898;#;Q42534165
Oswestry Presbyterian Messenger;Oswestry;Englisch;Presbyterian;1. Januar 1894;1894;#;Q42534196
The Swansea Congregationalist;Swansea;Englisch;congregationalist;1. Januar 1882;1882;#;Q42534265
Anglican Journal;Toronto, Ontario;#;Anglican;1875-present;1875;#;Q4763531
Baptist Messenger;Oklahoma City, USA;Baptist General Convention of Oklahoma;Baptist;1912-present;1912;#;Q4857659
A.M.E. Church Review;Nashville, Tennessee, U.S.;African Methodist Episcopal Church;Methodist;1841-present;1841;#;Q48975585
Byzantine Catholic World;Pittsburgh, Pennsylvania, USA;Byzantine Catholic Metropolitan Church;Catholic;;1956;#;Q5004693
Canadian Catholic News;Canada;Englisch;Christian;#;#;#;Q5029812
Catholic Art Quarterly;St. Mary of the Woods;#;Catholic;01. Jan 37;1937;#;Q5053065
Catholic Biblical Quarterly;United States;Catholic Biblical Association of America;Catholic;1939;1939;#;Q5053078
Catholic Family News;Niagara Falls, ON L2E 6V5;Catholic Family Ministries, Inc.;SSPX;1993-present;1993;#;Q5053161
Catholic Naqib;Lahore, Pakistan;Roman Catholic Archdiocese of Lahore;Catholic;1929-present;1929;NOT IN ENGLISH BUT URDU;Q5053206
Catholic New Times;Toronto, Ontario;several Catholic social activists;Catholic;1976-2006;1976;#;Q5053209
