"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZWAUKQAC","manuscript","1763","Neville; TNA","SP 78/256/115: Neville to Egremont","","","","","","Encloses letter of thanks [missing here] from Bussy for the picture of the King.  Date and place: 1763 Apr 12 Paris.","1763-04-12","2019-07-23 10:01:39","2020-06-03 15:33:34","","","Folio 268","","","","","","","","","","","Paris","","","letter of thanks","The National Archives of the UK, Kew","State Papers Foreign, France","National Archive of the UK","SP 78/256/115","","","","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C7343024","","","","","","Neville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IV5NK9GI","manuscript","1716","TNA","FEC 2/5: `Miscellanies': Advertisements; Conditions of Sale; Incidents; Reports to Parliament with Appendices giving Abstracts of Surveys and Personal Estates; Salaries","","","","","","","1716-07-08","2019-07-23 10:01:39","2020-06-03 15:33:34","","","","","","","","FEC 2/5","","","","","","","","","","The National Archives of the UK, Kew","","National Archive of the UK","FEC 2/5","","","; ","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C3189904; http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C3189904","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQWBGBBZ","book","1716","George I, King of Great Britain and Ireland","By the King, a proclamation, for apprehending Thomas Forster Junior, late of the county of Northumberland, Esquire","","","","","","","1716","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ; fol.","","","","","By the King","","","","","John Baskett, printer to the Kings Most Excellent Majesty, and by the assigns of Thomas Newcomb, and Henry Hills, deceas'd","London","","","","Copac","","Copac","","","","","","Bounties -- Great Britain -- Early works to 1800.; Fugitives from justice -- Great Britain -- Early works to 1800.; Great Britain -- History -- George I, 1714-1727 -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKNG562S","manuscript","1666","Jones, Giles; TNA","SP 9/144: Le Consulte degli Animali Parlanti, a political satire. Sent to Williamson in 1666 by Giles Jones, English consul in Venice.","","","","","","","1666","2019-07-23 10:01:39","2020-06-03 15:33:34","","","","","","","","SP 9/144","","","","","","Italy","it","","","The National Archives of the UK, Kew","State Paper Office: Williamson Collection, Pamphlets, Miscellaneous","","SP 9/144","","","; ","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C3508332; http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C3508332","","","","","","Jones, Giles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URXU9FVY","book","1787","Trant, Dominick","Considerations on the present disturbances in the province of Munster: their causes, extent, probable consequences, and remedies","","","","","","","1787","2019-07-23 10:01:39","2020-06-03 15:33:34","","","","","","","","Considerations on the present disturbances in the province of Munster","","","","","P. Byrne","[Ireland]","de","","","","","","","","","C:\Users\mobarget\Zotero\storage\9NYRQSJH\vtls000210049.html","","European Islands; Ireland","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QM7KAQGP","manuscript","1746","TNA; Albemarle","SP 54/34/4F: Albemarle, reporting Charles Edward's intention to return from France","","","","","","Albemarle, reporting Charles Edward's intention to return from France, bringing aid; and considering ways of reducing his support in Scotland, from attempting to gain the people's gratitude by offering indemnity to all those not attainted, to the increased fortification of the Highlands to enforce the Disarming Act","1746","2019-07-23 10:01:39","2020-06-03 15:33:34","","","","","","","","UK SP 54/34/4F","","","","","","Edinburgh","","","","The National Archives of the UK, Kew","State Papers Scotland, Secretaries of State: State Papers Scotland Series II","","","","","","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C6819480","","","","","","Albemarle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q4YAN7YJ","book","1685","James II and VII, King of England, Scotland and Ireland","A proclamation for apprehending several traitors and fugitives [leaders of the late rebellion]. Repr.","","","","","","","1685","2019-07-23 10:01:39","2020-06-03 15:33:34","","","<(24th June).> ; (s.sh.)","","","","","Proclamation","","","","","","London","","","","Copac","","Copac","","","","","","disobedience; England; Great Britain; James II; justice; King of England; law enforcement; proclamation; Rulers; treason","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CEC5RMMJ","book","1702","Anne, Queen of Great Britain and Ireland","By the Queen, a proclamation, for discovering and apprehending the murderers of William Harrison and Edward Simmonds [electronic resource].","","","","","","","1702","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ([1] p.).","","","","","By the Queen","","","","","Charles Bill, and the executrix of Thomas Newcomb","London","English","","","Copac","","Copac","","","","","","Fugitives from justice -- England -- Early works to 1800.; Great Britain -- History -- Anne, 1702-1714 -- Early works to 1800.; Murder -- England -- Early works to 1800.; Pardon -- England -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQ3MLPZG","manuscript","1718","Anon.; TNA","SP 46/170/103","","","","","","Printed satirical broadsheets 17th cent - 18th cent: `An out of the way ballad...`: illustrated [satirical] ballad on topsy-turvydom. On dorse, and unconnected, a fragment of an account of the trial and sentence [temp Geo I] of James Shepheard, accused of high treason in compassing and imagining the death of the king","1718","2019-07-23 10:01:39","2020-06-03 15:33:34","","","folios 99-106","","","","","SP 46/170/103","","","","","","London","en","","Printed satirical broadsheets","The National Archives of the UK, Kew","State Papers Domestic: Supplementary","National Archive of the UK","SP 46/170/103","","","","http://discovery.nationalarchives.gov.uk/SearchUI/Details?uri=C7714336","","","","","","Anon.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MN84IWQH","book","1642","Parliament of England","A declaration and resolution of the Lords and Commons in Parliament concerning His Maiesties late proclamation for suppressing the present rebellion under the command of Robert Earle of Essex: and the gratious offer of his Maiesties free pardon to him and all such of his adherents as shall within six dayes after the date thereof lay downe their armes","","","","","","","1642-08-15","2019-07-23 10:01:39","2020-06-03 15:33:34","","","[7] p.","","","","","Declaration","","","","","F. Leach/Edward Husbands/Iohn Franck","London","English","","","Copac","","Copac","","","","","","England and Wales. Sovereign (1625-1649 : Charles I). -- His Majesties message to both Houses of Parliament [11 July 1642]; Essex, Robert Devereux, Earl of, 1591-1646.; Great Britain -- History -- Civil War, 1642-1649.; Great Britain -- Politics and government -- 1642-1649.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWD2WVYP","book","1707","Anne, Queen of Great Britain, 1665-1714.","By the Queen, a proclamation, for apprehending and securing [blank] Baud [electronic resource].","","","","","","","1707","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ([1] p.).","","","","","By the Queen","","","","","Charles Bill, and the executrix of Thomas Newcomb","London","English","","","Copac","","Copac","","","","","","Bounties -- England -- Early works to 1800.; Fugitivies from justice -- England -- Early works to 1800.; Great Britain -- History -- Anne, 1702-1714 -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NS9LJSGR","book","1702","Anne, Queen of Great Britain and Ireland","By the Queen, a proclamation, for the apprehending all persons going to or from France, and also for the taking and apprehending of all deserters from Her Majesties service in the army abroad [electronic resource].","","","","","","","1702","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ([1] p.).","","","","","By the Queen","","","","","Charles Bill, and the executrix of Thomas Newcomb","London","English","","","Copac","","Copac","","","","","","Desertion, Military -- England -- Early works to 1800.; Great Britain -- History -- Anne, 1702-1714 -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XG2QLA9Q","book","1703","Anne, Queen of Great Britain and Ireland","By the Queen, a proclamation, for apprehending John Tutchin, John How, and Benjamin Bragg","","","","","","","1703","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ([1] p.).","","","","","By the Queen","","","","","Charles Bill, and the executrix of Thomas Newcomb","London","English","","","Copac","","Copac","","","","","","Bounties -- England -- Early works to 1800.; Fugitives from justice -- England -- Early works to 1800.; Great Britain -- History -- Anne, 1702-1714 -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9N5TBHLL","book","1685","James II and VII, King of England, Scotland and Ireland","A proclamation, whereas in the time of the late rebellion, we upon just grounds gave order for the apprehending of Henry Lord Delamere","","","","","","","1685","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ([1] p.)","","","","","Proclamation","","","","","the assigns of John Bill deceas'd/Henry Hills/Thomas Newcomb","London","English","","","Copac","","Copac","","","","","","1685; England; Great Britain; James II; Monmouth's Rebellion; proclamation; Warrington, Henry Booth, Earl of, 1652-1694.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q59L7LCL","book","2006","House of Commons","(Ireland.) A bill to amend several acts, passed in the Parliament of Ireland, for appointing commissioners to enquire into the losses of such of His Majesty's loyal subjects as have suffered in their property during the rebellion in Ireland, and for other purposes in the said acts mentioned [electronic resource].","","","","","","","2006","2019-07-23 10:01:39","2020-06-03 15:33:34","","","","","","","","Ireland","","","","","Proquest LLC","Cambridge","English","","","Copac","","Copac","","","","","","Great Britain. Parliament. House of Commons.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4EAFG6F","book","1721","George I, King of Great Britain and Ireland","By the King, a proclamation, for apprehending and securing the persons of Doctor Gaylard, apprentice to Nathaniel Mist of Great Carter-Lane, in the City of London, printer, and of Nathaniel Wilkinson [electronic resource].","","","","","","","1721","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ([1] p.).","","","","","By the King","","","","","John Baskett/the assigns of Thomas Newcomb, and Henry Hills, deceas'd","London","English","","","Copac","","Copac","","","","","","Bounties -- Great Britain -- Early works to 1800.; Censorship -- Great Britain -- Early works to 1800.; Fugitives from justice -- Great Britain -- Early works to 1800.; Great Britain -- History -- George I, 1714-1727 -- Early works to 1800.; Libel and slander -- Great Britain -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LUFEPFTY","book","1714","George I, King of Great Britain and Ireland","By the King, a proclamation, for the discovering and apprehending of the persons who barbarously wounded and maimed John Mac-Allen, an officer of excise in Scotland [electronic resource].","","","","","","","1714","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ([1] p.).","","","","","By the King","","","","","John Baskett/the assigns of Thomas Newcomb, and Henry Hills, deceas'd","London","English","","","Copac","","Copac","","","","","","Bounties -- Great Britain -- Early works to 1800.; Fugitives from justice -- England -- Early works to 1800.; Great Britain -- History -- George I, 1714-1727 -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EKMPPACW","book","1746","Wingfield, Thomas","The lawfulness of wishing destruction to the King's enemies: A sermon Preach'd in the Parish-Church of St. George, in Southwark, On Thursday, October 9, 1746. Being the Day appointed by Proclamation for a general Thanksgiving to Almighty God for the Suppression of the late Unnatural Rebellion, and Deliverance of these Kingdoms from the Calamities of an intestine War. By Thomas Wingfield, M. A. Hospitaler of St. Thomas's in Southwark, and Vicar of Yalmeton in Devon.","","","","","","","1746","2019-07-23 10:01:39","2020-06-03 15:33:34","","","26,[2]p.","","","","","","","","","","T. Payne/M. Cooper","London","English","","","Copac","","Copac","","","","","","Anglicanism; Jacobite Rebellion, 1745-1746 -- Sermons.; Sermons, English -- 18th century.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJ34MDEC","book","1722","Ireland. Lords Justices and Council.","By the Lords Justices and Council of Ireland, a proclamation. Promising a reward for taking and apprehending Sir Andrew Aylmer, Garret Darcy, John Ambrose, Garret Anbrose, Thomas Ledwitch, William Mullan Nicholas Maccan, Rose Wade als. Farrel, Nicholas Bath, and Nugent als. Sheridan, a popish priest [electronic resource].","","","","","","","1722","2019-07-23 10:01:39","2020-06-03 15:33:34","","","2 sheets.","","","","","By the Lords Justices and Council","","","","","Andrew Crooke","Dublin","English","","","Copac","","Copac","","","","","","Politics and government; Proclamations -- Ireland -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ISQEL96Q","book","1798","George III, King of Great Britain and Ireland","A proclamation. Whereas it is in the power of His Majesty's generals, and of the forces under their command, entirely to destroy all those who have risen in rebellion [electronic resource].","","","","","","","1798","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet : half sheet","","","","","Proclamation","","","","","George Grierson","Dublin","","","","Copac","","Copac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDMDS9ZZ","book","1863","Forster, W. E. (William Edward); Smith, Goldwin; Union and Emancipation Society (Manchester, England); JSTOR.","Speech of Mr. W. E. Forster, M. P., on the slaveholders' rebellion: and Professor Goldwin Smith's letter on the morality of the Emancipation proclamation","","","","","","","1863","2019-07-23 10:01:39","2020-06-03 15:33:34","","","15 p. ; 21 cm.","","","","","Speech","","","","","Union and Emancipation Society's Depot","Manchester","English","","","Copac","","Copac","","","","","","United States -- History -- Civil War, 1861-1865 -- Foreign public opinion.; United States. President (1861-1865 : Lincoln). -- Emancipation Proclamation.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7K5KACLA","book","1766","Parliament of Great Britain","The debates and proceedings of the British House of Commons, during the third, fourth, and fifth sessions of the third Parliament of His Late Majesty George II. Held in the years 1743, 1744, 1745, and 1746. Compiled from authentic papers, and compared with the journals. Vol. I.","","","","","","","1766","2019-07-23 10:01:39","2020-06-03 15:33:34","2016-06-09 13:28:06","","363","","11","11","","Debates and proceedings","","","","","","London","","Copyright 2009 Gale, Cengage Learning","","","","","","","","C:\Users\mobarget\Zotero\storage\24EHBPJM\retrieve.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XZWUI2L2","book","1705","Anne, Queen of Great Britain","By the Queen, a proclamation. Anne R. Whereas of late several persons endeavouring to foment animosities, and cover designs, which they dare not publickly own","","","","","","","1705","2019-07-23 10:01:39","2020-06-03 15:33:34","","","1 sheet ([1] p.).","","","","","By the Queen","","","","","Charles Bill, and the executrix of Thomas Newcomb","London","English","","","Copac","","Copac","","","","","","Bounties -- England -- Early works to 1800.; Censorship -- England -- Early works to 1800.; Church and state -- England -- Early works to 1800.; Fugitives from justice -- England -- Early works to 1800.; Great Britain -- History -- Anne, 1702-1714 -- Early works to 1800.; Sedition -- England -- Early works to 1800.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UMI4NUXI","book","1747","George II, King of Great Britain","By the King. A Proclamation for apprehending and securing the person of William Leverland. [12 March, 1747.] B.L.","","","","","","","1747","2019-07-23 10:01:39","2020-06-03 15:33:34","","","s. sh. fol.","","","","","By the King","","","","","T. Baskett and the Assigns of R. Baskett:","London","","","","Copac","","Copac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVZB9TRF","book","1641","Charles I, King of England, Scotland and Ireland","His Maiesties speciall command under the great seale of England [electronic resource] : to the Lord Major of the honourable city of London dated Decemb. 9, 1641 : for the speedy sending of precepts into severall wards of the city : to suppresse the tumultuous and unlawfull assemblies and riotous disorders both in the city of London and VVestminster : vvith a relation of the riotous assemblies, mutinous vproares and disorders made and committed by a company of Brownists or Seperatists within the city of London and VVestminster : also in what manner they entred into St. Georges church where one of them made a sermon on Sunday Decemb. 12 : vvhereunto is added the riotous insurrection and rebellion of some prisoners in New-gate condemned to dye on Munday December 13, 1641.","","","","","","","1641","2019-07-23 10:01:39","2020-06-03 15:33:34","","","[2] p.","","","","","","","","","","John Thomas","London","English","","","Copac","","Copac","","","","","","Charles I; Charles I, King of England, 1600-1649; Civil War; England; Great Britain; Great Seal; monarchy; Wars of the Three Kingdoms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MLGZQUXU","book","1707","Lords Commissioners for the Union of the Kingdoms of England and Scotland","The articles of the treaty for an union between England and Scotland, agreed on by the commissioners of both kingdoms, on the twenty second of July, 1706. And the act of Parliament pass'd in the Parliament of Scotland for ratifying the said articles ... Together with the ac of Parliament ... for securing the protestant religion and Presbyterian church government in that kingdom. And also the minutes of the proceedings of the lords commissioners for the said union, ... [electronic resource].","","","","","","","1707","2019-07-23 10:01:39","2020-06-03 15:33:34","","","[2],68p. ; 2⁰.","","","","","","","","","","Jacob Tonson; and Timothy Goodwin","London","English","","","Copac","","Copac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Y2WU627","book","1675","Charles II, King of England and Scotland","By the King. A Proclamation, forbidding His Majesties subjects to give assistance to any the subjects of the King of Spain now in rebellion against him. [17 June, 1675]","","","","","","","1675","2019-07-23 10:01:39","2020-06-03 15:33:34","","","B.L., s.sh.fol.","","","","","By the King","","","","","the assigns of John Bill and Christopher Barker","London","English","","","Copac","","Copac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
